benchmark,gpu_name,compute_capability,problem_size,variant,mean_ms,stddev_ms,gflops,gb_s,pct_peak_flops,pct_peak_bw
saxpy,NVIDIA H100 80GB HBM3,9.0,1048576,grid_stride,0.0073792,0.000259889,284.198,1705.19,0.424758,50.8659
saxpy,NVIDIA H100 80GB HBM3,9.0,4194304,grid_stride,0.0123597,0.000735746,678.708,4072.25,1.01439,121.475
saxpy,NVIDIA H100 80GB HBM3,9.0,16777216,grid_stride,0.0778496,0.000881397,431.016,2586.1,0.644191,77.1435
saxpy,NVIDIA H100 80GB HBM3,9.0,67108864,grid_stride,0.288458,0.000771703,465.293,2791.76,0.695421,83.2785
saxpy,NVIDIA H100 80GB HBM3,9.0,268435456,grid_stride,1.14628,0.00189678,468.36,2810.16,0.700005,83.8274
sgemm,NVIDIA H100 80GB HBM3,9.0,256,naive,0.0120186,0.000298027,2791.88,11189.3,4.17271,333.779
sgemm,NVIDIA H100 80GB HBM3,9.0,256,cublas,0.0169478,0.000322918,1979.86,7934.93,2.95908,236.7
sgemm,NVIDIA H100 80GB HBM3,9.0,512,naive,0.0522138,0.000531916,5141.09,20584.4,7.6838,614.035
sgemm,NVIDIA H100 80GB HBM3,9.0,512,cublas,0.0233907,0.000333743,11476.2,45949.4,17.1521,1370.68
sgemm,NVIDIA H100 80GB HBM3,9.0,1024,naive,0.35595,0.000303243,6033.1,24144.2,9.01699,720.224
sgemm,NVIDIA H100 80GB HBM3,9.0,1024,cublas,0.0640595,0.00063866,33523.3,134158,50.1034,4001.96
sgemm,NVIDIA H100 80GB HBM3,9.0,2048,naive,2.69332,0.01327,6378.69,25521,9.53351,761.294
sgemm,NVIDIA H100 80GB HBM3,9.0,2048,cublas,0.34282,0.000365409,50113.4,200503,74.8988,5981.01
sgemm,NVIDIA H100 80GB HBM3,9.0,4096,naive,21.645,0.00165262,6349.68,25401.8,9.49015,757.739
sgemm,NVIDIA H100 80GB HBM3,9.0,4096,cublas,2.63747,0.00924606,52110.2,208466,77.8831,6218.56
stencil,NVIDIA H100 80GB HBM3,9.0,1048576,naive_global,0.00929344,0.000729887,1128.3,2707.91,1.68634,80.7773
stencil,NVIDIA H100 80GB HBM3,9.0,1048576,shared_tiled,0.00976832,0.000439942,1073.45,2576.27,1.60436,76.8503
stencil,NVIDIA H100 80GB HBM3,9.0,4194304,naive_global,0.0182688,0.000603264,2295.88,5510.12,3.4314,164.367
stencil,NVIDIA H100 80GB HBM3,9.0,4194304,shared_tiled,0.0272589,0.000761534,1538.69,3692.86,2.29971,110.158
stencil,NVIDIA H100 80GB HBM3,9.0,16777216,naive_global,0.0657254,0.00128992,2552.62,6126.29,3.81511,182.748
stencil,NVIDIA H100 80GB HBM3,9.0,16777216,shared_tiled,0.100497,0.00109408,1669.43,4006.63,2.49511,119.518
stencil,NVIDIA H100 80GB HBM3,9.0,37748736,naive_global,0.145777,0.000988702,2589.49,6214.78,3.87022,185.387
stencil,NVIDIA H100 80GB HBM3,9.0,37748736,shared_tiled,0.221881,0.000359448,1701.31,4083.13,2.54275,121.8
stencil,NVIDIA H100 80GB HBM3,9.0,67108864,naive_global,0.266752,0.0014952,2515.78,6037.87,3.76005,180.11
stencil,NVIDIA H100 80GB HBM3,9.0,67108864,shared_tiled,0.396845,0.000894155,1691.06,4058.55,2.52744,121.067
reduction,NVIDIA H100 80GB HBM3,9.0,1048576,warp_shuffle,0.010544,0.000501036,99.4476,397.791,0.148633,11.8661
reduction,NVIDIA H100 80GB HBM3,9.0,4194304,warp_shuffle,0.0123834,0.000674111,338.705,1354.82,0.506223,40.4144
reduction,NVIDIA H100 80GB HBM3,9.0,16777216,warp_shuffle,0.0325549,0.000537239,515.352,2061.41,0.770238,61.492
reduction,NVIDIA H100 80GB HBM3,9.0,67108864,warp_shuffle,0.0966272,0.000762757,694.513,2778.05,1.03801,82.8696
reduction,NVIDIA H100 80GB HBM3,9.0,268435456,warp_shuffle,0.348666,0.00244671,769.892,3079.57,1.15067,91.8638
montecarlo,NVIDIA H100 80GB HBM3,9.0,1000000,curand_philox,0.0143443,0.000496576,557.712,3346.27,0.833549,99.8196
montecarlo,NVIDIA H100 80GB HBM3,9.0,10000000,curand_philox,0.041095,0.000609743,1946.71,11680.2,2.90952,348.423
montecarlo,NVIDIA H100 80GB HBM3,9.0,100000000,curand_philox,0.306572,0.000483877,2609.5,15657,3.90012,467.05
montecarlo,NVIDIA H100 80GB HBM3,9.0,500000000,curand_philox,1.49016,0.000780909,2684.27,16105.6,4.01187,480.432
montecarlo,NVIDIA H100 80GB HBM3,9.0,1000000000,curand_philox,2.96845,0.000963462,2695.01,16170,4.02792,482.354
fft_1d_c2c,NVIDIA H100 80GB HBM3,9.0,262144,cufft_forward,0.0134413,0.000264666,1755.26,624.093,2.62339,18.6167
fft_1d_c2c,NVIDIA H100 80GB HBM3,9.0,1048576,cufft_forward,0.0215136,0.000373195,4874.01,1559.68,7.28463,46.5255
fft_1d_c2c,NVIDIA H100 80GB HBM3,9.0,4194304,cufft_forward,0.0727238,0.000698693,6344.18,1845.58,9.48193,55.0538
