benchmark,gpu_name,compute_capability,problem_size,variant,mean_ms,stddev_ms,gflops,gb_s,pct_peak_flops,pct_peak_bw
saxpy,NVIDIA GeForce RTX 4090,8.9,1048576,grid_stride,0.00606208,0.000363488,345.946,2075.68,0.418946,205.901
saxpy,NVIDIA GeForce RTX 4090,8.9,4194304,grid_stride,0.0142963,0.000372988,586.767,3520.6,0.710584,349.233
saxpy,NVIDIA GeForce RTX 4090,8.9,16777216,grid_stride,0.226776,0.0256665,147.963,887.779,0.179186,88.0649
saxpy,NVIDIA GeForce RTX 4090,8.9,67108864,grid_stride,0.903687,0.00515693,148.522,891.134,0.179863,88.3977
saxpy,NVIDIA GeForce RTX 4090,8.9,268435456,grid_stride,3.6812,0.0107388,145.841,875.047,0.176616,86.802
sgemm,NVIDIA GeForce RTX 4090,8.9,256,naive,0.0121843,0.000334968,2753.9,11037.1,3.33502,1094.85
sgemm,NVIDIA GeForce RTX 4090,8.9,256,cublas,0.0102003,0.000490894,3289.55,13183.9,3.98369,1307.8
sgemm,NVIDIA GeForce RTX 4090,8.9,512,naive,0.063664,0.00508234,4216.44,16882.2,5.10617,1674.67
sgemm,NVIDIA GeForce RTX 4090,8.9,512,cublas,0.0161882,0.000605491,16582.2,66393.6,20.0813,6586.04
sgemm,NVIDIA GeForce RTX 4090,8.9,1024,naive,0.489248,0.000905976,4389.36,17566,5.31558,1742.49
sgemm,NVIDIA GeForce RTX 4090,8.9,1024,cublas,0.0497626,0.00232938,43154.6,172703,52.2609,17131.6
sgemm,NVIDIA GeForce RTX 4090,8.9,2048,naive,3.76935,0.116015,4557.78,18235.6,5.51953,1808.91
sgemm,NVIDIA GeForce RTX 4090,8.9,2048,cublas,0.305037,0.00171335,56320.6,225338,68.2051,22352.8
sgemm,NVIDIA GeForce RTX 4090,8.9,4096,naive,28.2772,0.0153476,4860.42,19444,5.88604,1928.79
sgemm,NVIDIA GeForce RTX 4090,8.9,4096,cublas,2.61156,0.0718193,52627.2,210534,63.7323,20884.4
stencil,NVIDIA GeForce RTX 4090,8.9,1048576,naive_global,0.00705408,0.000800487,1486.48,3567.56,1.80015,353.89
stencil,NVIDIA GeForce RTX 4090,8.9,1048576,shared_tiled,0.00695936,0.000395065,1506.71,3616.11,1.82465,358.707
stencil,NVIDIA GeForce RTX 4090,8.9,4194304,naive_global,0.0155066,0.000319418,2704.86,6491.66,3.27562,643.952
stencil,NVIDIA GeForce RTX 4090,8.9,4194304,shared_tiled,0.0178714,0.000478025,2346.94,5632.66,2.84218,558.742
stencil,NVIDIA GeForce RTX 4090,8.9,16777216,naive_global,0.155404,0.00109049,1079.59,2591.02,1.3074,257.021
stencil,NVIDIA GeForce RTX 4090,8.9,16777216,shared_tiled,0.15177,0.000540821,1105.44,2653.06,1.3387,263.175
stencil,NVIDIA GeForce RTX 4090,8.9,37748736,naive_global,0.379244,0.00446195,995.369,2388.89,1.20541,236.97
stencil,NVIDIA GeForce RTX 4090,8.9,37748736,shared_tiled,0.340369,0.00128603,1109.05,2661.73,1.34308,264.035
stencil,NVIDIA GeForce RTX 4090,8.9,67108864,naive_global,0.704262,0.00625636,952.897,2286.95,1.15397,226.859
stencil,NVIDIA GeForce RTX 4090,8.9,67108864,shared_tiled,0.604799,0.000558121,1109.61,2663.06,1.34375,264.167
reduction,NVIDIA GeForce RTX 4090,8.9,1048576,warp_shuffle,0.00686528,0.000548084,152.736,610.944,0.184966,60.6038
reduction,NVIDIA GeForce RTX 4090,8.9,4194304,warp_shuffle,0.0103859,0.000761418,403.845,1615.38,0.489062,160.241
reduction,NVIDIA GeForce RTX 4090,8.9,16777216,warp_shuffle,0.0209178,0.00053735,802.056,3208.22,0.971302,318.246
reduction,NVIDIA GeForce RTX 4090,8.9,67108864,warp_shuffle,0.286344,0.000474586,234.364,937.457,0.283819,92.9928
reduction,NVIDIA GeForce RTX 4090,8.9,268435456,warp_shuffle,1.12753,0.00190889,238.075,952.298,0.288312,94.465
montecarlo,NVIDIA GeForce RTX 4090,8.9,1000000,curand_philox,0.0101146,0.00448297,790.939,4745.63,0.957839,470.752
montecarlo,NVIDIA GeForce RTX 4090,8.9,10000000,curand_philox,0.0291738,0.000468363,2742.19,16453.1,3.32083,1632.1
montecarlo,NVIDIA GeForce RTX 4090,8.9,100000000,curand_philox,0.227484,0.000661125,3516.73,21100.4,4.25881,2093.09
montecarlo,NVIDIA GeForce RTX 4090,8.9,500000000,curand_philox,1.11072,0.00263774,3601.25,21607.5,4.36117,2143.4
montecarlo,NVIDIA GeForce RTX 4090,8.9,1000000000,curand_philox,2.22167,0.00890908,3600.9,21605.4,4.36074,2143.19
fft_1d_c2c,NVIDIA GeForce RTX 4090,8.9,262144,cufft_forward,0.0093056,0.000298581,2535.35,901.458,3.07035,89.4218
fft_1d_c2c,NVIDIA GeForce RTX 4090,8.9,1048576,cufft_forward,0.018729,0.000419777,5598.69,1791.58,6.78009,177.719
fft_1d_c2c,NVIDIA GeForce RTX 4090,8.9,4194304,cufft_forward,0.0775443,0.00130853,5949.8,1730.85,7.2053,171.695
fft_1d_c2c,NVIDIA GeForce RTX 4090,8.9,16777216,cufft_forward,0.912476,0.0355828,2206.38,588.367,2.67196,58.3642
fft_1d_c2c,NVIDIA GeForce RTX 4090,8.9,67108864,cufft_forward,3.94906,0.0174681,2209.17,543.797,2.67534,53.9429
