benchmark,gpu_name,compute_capability,problem_size,variant,mean_ms,stddev_ms,gflops,gb_s,pct_peak_flops,pct_peak_bw
saxpy,NVIDIA RTX A4000,8.6,1048576,grid_stride,0.0372269,0.000422832,56.3343,338.006,0.293878,75.437
saxpy,NVIDIA RTX A4000,8.6,4194304,grid_stride,0.135896,0.00128773,61.7283,370.37,0.322017,82.66
saxpy,NVIDIA RTX A4000,8.6,16777216,grid_stride,0.528821,0.0022074,63.4514,380.708,0.331006,84.9674
saxpy,NVIDIA RTX A4000,8.6,67108864,grid_stride,2.09184,0.00472624,64.1626,384.975,0.334716,85.9197
saxpy,NVIDIA RTX A4000,8.6,268435456,grid_stride,8.3584,0.0106213,64.2313,385.388,0.335074,86.0118
sgemm,NVIDIA RTX A4000,8.6,256,naive,0.0365875,0.00153766,917.1,3675.57,4.78422,820.322
sgemm,NVIDIA RTX A4000,8.6,256,cublas,0.0137024,0.0011562,2448.8,9814.33,12.7746,2190.39
sgemm,NVIDIA RTX A4000,8.6,512,naive,0.226947,0.000406874,1182.81,4735.87,6.17036,1056.96
sgemm,NVIDIA RTX A4000,8.6,512,cublas,0.0407629,0.000639064,6585.29,26366.9,34.3534,5884.63
sgemm,NVIDIA RTX A4000,8.6,1024,naive,2.0753,0.000448425,1034.78,4141.14,5.39812,924.23
sgemm,NVIDIA RTX A4000,8.6,1024,cublas,0.210684,0.00183515,10192.9,40791.7,53.1733,9103.98
sgemm,NVIDIA RTX A4000,8.6,2048,naive,14.8751,0.106005,1154.94,4620.88,6.02495,1031.3
sgemm,NVIDIA RTX A4000,8.6,2048,cublas,1.79132,0.255482,9590.63,38371.9,50.0313,8563.93
sgemm,NVIDIA RTX A4000,8.6,4096,naive,121.474,0.890626,1131.43,4526.26,5.90229,1010.18
sgemm,NVIDIA RTX A4000,8.6,4096,cublas,14.0672,0.281044,9770.15,39085.4,50.9677,8723.17
stencil,NVIDIA RTX A4000,8.6,1048576,naive_global,0.0265254,0.000324464,395.31,948.743,2.0622,211.743
stencil,NVIDIA RTX A4000,8.6,1048576,shared_tiled,0.0271501,0.000312945,386.215,926.915,2.01476,206.871
stencil,NVIDIA RTX A4000,8.6,4194304,naive_global,0.0944992,0.000500409,443.845,1065.23,2.3154,237.74
stencil,NVIDIA RTX A4000,8.6,4194304,shared_tiled,0.0947718,0.000374405,442.569,1062.16,2.30874,237.056
stencil,NVIDIA RTX A4000,8.6,16777216,naive_global,0.404888,0.0114857,414.367,994.481,2.16162,221.951
stencil,NVIDIA RTX A4000,8.6,16777216,shared_tiled,0.389704,0.00293158,430.511,1033.23,2.24584,230.598
stencil,NVIDIA RTX A4000,8.6,37748736,naive_global,1.14661,0.0326605,329.22,790.129,1.71744,176.343
stencil,NVIDIA RTX A4000,8.6,37748736,shared_tiled,0.935366,0.00244335,403.572,968.573,2.10531,216.168
stencil,NVIDIA RTX A4000,8.6,67108864,naive_global,2.3173,0.0419344,289.599,695.038,1.51075,155.12
stencil,NVIDIA RTX A4000,8.6,67108864,shared_tiled,1.65322,0.0157766,405.927,974.226,2.11759,217.43
reduction,NVIDIA RTX A4000,8.6,1048576,warp_shuffle,0.0105446,0.000390061,99.4415,397.766,0.518755,88.7745
reduction,NVIDIA RTX A4000,8.6,4194304,warp_shuffle,0.0481722,0.000262838,87.069,348.276,0.454211,77.7291
reduction,NVIDIA RTX A4000,8.6,16777216,warp_shuffle,0.176016,0.00163372,95.3164,381.266,0.497235,85.0918
reduction,NVIDIA RTX A4000,8.6,67108864,warp_shuffle,0.741094,0.00504328,90.5538,362.215,0.47239,80.8401
reduction,NVIDIA RTX A4000,8.6,268435456,warp_shuffle,3.05203,0.00637805,87.953,351.812,0.458823,78.5183
montecarlo,NVIDIA RTX A4000,8.6,1000000,curand_philox,0.0190419,0.000227601,420.126,2520.75,2.19166,562.588
montecarlo,NVIDIA RTX A4000,8.6,10000000,curand_philox,0.0996,0.00125702,803.213,4819.28,4.1901,1075.58
montecarlo,NVIDIA RTX A4000,8.6,100000000,curand_philox,0.913968,0.0381295,875.304,5251.83,4.56618,1172.11
montecarlo,NVIDIA RTX A4000,8.6,500000000,curand_philox,4.55816,0.0191394,877.548,5265.29,4.57789,1175.12
montecarlo,NVIDIA RTX A4000,8.6,1000000000,curand_philox,9.14261,0.111145,875.024,5250.14,4.56472,1171.74
